2020-07-01 10:00:00,100000,0,0
2020-07-02 11:00:00,0,5000,0
2020-07-03 12:00:00,12000,0,0
2020-07-04 13:00:00,98000,0,0
2020-07-05 14:00:00,0,12000,0
2020-07-06 15:00:00,89000,0,0
2020-07-07 16:00:00,12000,0,0
2020-07-08 17:00:00,100000,0,0
2020-07-09 18:00:00,0,5000,0
2020-07-10 19:00:00,0,10000,0
2020-07-08 14:29:43,99,0,0
2020-07-08 14:30:22,1000000,0,0
2020-07-08 14:32:14,1000,0,0
2020-07-08 14:32:16,0,20000,0
2020-07-08 14:34:51,1000,0,0
2020-07-08 14:36:19,500,0,0
2020-07-08 14:36:23,0,555,0
2020-07-08 14:42:04,1500,0,0
2020-07-08 14:42:09,0,30000,0
2020-07-08 15:19:34,1000,0,0
2020-07-08 15:19:38,0,1000,0
2020-07-08 16:05:22,5000,0,0
