1,88,95,64,247,82
2,99,75,96,270,90
3,92,78,69,239,79
4,51,52,87,190,63
5,64,95,90,249,83
6,51,68,58,177,59
7,79,85,76,240,80
8,59,86,51,196,65
9,91,63,93,247,82
10,59,66,61,186,62
11,57,75,90,222,74
12,79,98,67,244,81
13,66,94,90,250,83
14,85,70,100,255,85
15,88,69,75,232,77
16,51,100,76,227,75
17,90,66,100,256,85
18,53,56,79,188,62
19,66,54,54,174,58
20,51,63,95,209,69
21,74,71,53,198,66
22,93,65,53,211,70
23,52,95,84,231,77
24,98,53,79,230,76
25,89,72,62,223,74
26,51,80,82,213,71
27,78,99,83,260,86
28,54,77,91,222,74
29,73,99,75,247,82
30,92,90,93,275,91
